input,target
Which subject does the course Learn By Example: PHP For Dynamic Websites belong to?,Web Development
Is the course Learn By Example: PHP For Dynamic Websites free or paid?,paid
How many students are enrolled in Learn By Example: PHP For Dynamic Websites?,1439
Is Learn By Example: PHP For Dynamic Websites suitable for beginners?,Yes
What is the price of the course Learn By Example: PHP For Dynamic Websites?,50
What is the level of the course Learn ReactJS: Code Like A Facebook Developer?,Intermediate Level
Which subject does the course Learn ReactJS: Code Like A Facebook Developer belong to?,Web Development
Is the course Learn ReactJS: Code Like A Facebook Developer free or paid?,paid
How many students are enrolled in Learn ReactJS: Code Like A Facebook Developer?,1948
Is Learn ReactJS: Code Like A Facebook Developer suitable for beginners?,No
What is the price of the course Learn ReactJS: Code Like A Facebook Developer?,20
What is the level of the course Learn to Build Web Apps using D3JS?,All Levels
Which subject does the course Learn to Build Web Apps using D3JS belong to?,Web Development
Is the course Learn to Build Web Apps using D3JS free or paid?,paid
How many students are enrolled in Learn to Build Web Apps using D3JS?,841
Is Learn to Build Web Apps using D3JS suitable for beginners?,No
What is the price of the course Learn to Build Web Apps using D3JS?,40
What is the level of the course How to create awesome website and e-commerce in 1 hour?,All Levels
Which subject does the course How to create awesome website and e-commerce in 1 hour belong to?,Web Development
Is the course How to create awesome website and e-commerce in 1 hour free or paid?,paid
How many students are enrolled in How to create awesome website and e-commerce in 1 hour?,937
Is How to create awesome website and e-commerce in 1 hour suitable for beginners?,No
What is the price of the course How to create awesome website and e-commerce in 1 hour?,20
What is the level of the course Joomla for Beginners - Learn how to build a website with CMS?,Beginner Level
Which subject does the course Joomla for Beginners - Learn how to build a website with CMS belong to?,Web Development
Is the course Joomla for Beginners - Learn how to build a website with CMS free or paid?,paid
How many students are enrolled in Joomla for Beginners - Learn how to build a website with CMS?,583
Is Joomla for Beginners - Learn how to build a website with CMS suitable for beginners?,Yes
What is the price of the course Joomla for Beginners - Learn how to build a website with CMS?,95
What is the level of the course Learning Drupal 8?,All Levels
Which subject does the course Learning Drupal 8 belong to?,Web Development
Is the course Learning Drupal 8 free or paid?,paid
How many students are enrolled in Learning Drupal 8?,577
Is Learning Drupal 8 suitable for beginners?,No
What is the price of the course Learning Drupal 8?,50
What is the level of the course Learn How To Build a Web Application Without Coding?,Beginner Level
Which subject does the course Learn How To Build a Web Application Without Coding belong to?,Web Development
Is the course Learn How To Build a Web Application Without Coding free or paid?,free
How many students are enrolled in Learn How To Build a Web Application Without Coding?,9364
Is Learn How To Build a Web Application Without Coding suitable for beginners?,Yes
What is the price of the course Learn How To Build a Web Application Without Coding?,0
What is the level of the course Rock Solid Wordpress Security - Secure Web Development?,All Levels
Which subject does the course Rock Solid Wordpress Security - Secure Web Development belong to?,Web Development
Is the course Rock Solid Wordpress Security - Secure Web Development free or paid?,free
How many students are enrolled in Rock Solid Wordpress Security - Secure Web Development?,5052
Is Rock Solid Wordpress Security - Secure Web Development suitable for beginners?,No
What is the price of the course Rock Solid Wordpress Security - Secure Web Development?,0
What is the level of the course Mastering JavaScript?,Expert Level
Which subject does the course Mastering JavaScript belong to?,Web Development
Is the course Mastering JavaScript free or paid?,paid
How many students are enrolled in Mastering JavaScript?,694
Is Mastering JavaScript suitable for beginners?,No
What is the price of the course Mastering JavaScript?,95
What is the level of the course PHP Laravel 5:Creating a CRUD application?,All Levels
Which subject does the course PHP Laravel 5:Creating a CRUD application belong to?,Web Development
Is the course PHP Laravel 5:Creating a CRUD application free or paid?,paid
How many students are enrolled in PHP Laravel 5:Creating a CRUD application?,511
Is PHP Laravel 5:Creating a CRUD application suitable for beginners?,No
What is the price of the course PHP Laravel 5:Creating a CRUD application?,45
What is the level of the course XQUERY :basics for beginners?,All Levels
Which subject does the course XQUERY :basics for beginners belong to?,Web Development
Is the course XQUERY :basics for beginners free or paid?,paid
How many students are enrolled in XQUERY :basics for beginners?,937
Is XQUERY :basics for beginners suitable for beginners?,No
What is the price of the course XQUERY :basics for beginners?,40
What is the level of the course PHP Development with the Laravel Framework?,All Levels
Which subject does the course PHP Development with the Laravel Framework belong to?,Web Development
Is the course PHP Development with the Laravel Framework free or paid?,paid
How many students are enrolled in PHP Development with the Laravel Framework?,1611
Is PHP Development with the Laravel Framework suitable for beginners?,No
What is the price of the course PHP Development with the Laravel Framework?,50
What is the level of the course WordPress Development - Themes and Plugins Complete Guide?,All Levels
Which subject does the course WordPress Development - Themes and Plugins Complete Guide belong to?,Web Development
Is the course WordPress Development - Themes and Plugins Complete Guide free or paid?,paid
How many students are enrolled in WordPress Development - Themes and Plugins Complete Guide?,103
Is WordPress Development - Themes and Plugins Complete Guide suitable for beginners?,No
What is the price of the course WordPress Development - Themes and Plugins Complete Guide?,200
What is the level of the course Basic JavaScript: Build 4 Basic JavaScript Projects?,Beginner Level
Which subject does the course Basic JavaScript: Build 4 Basic JavaScript Projects belong to?,Web Development
Is the course Basic JavaScript: Build 4 Basic JavaScript Projects free or paid?,paid
How many students are enrolled in Basic JavaScript: Build 4 Basic JavaScript Projects?,670
Is Basic JavaScript: Build 4 Basic JavaScript Projects suitable for beginners?,Yes
What is the price of the course Basic JavaScript: Build 4 Basic JavaScript Projects?,40
What is the level of the course HTML and CSS for Beginning Web Developers?,Beginner Level
Which subject does the course HTML and CSS for Beginning Web Developers belong to?,Web Development
Is the course HTML and CSS for Beginning Web Developers free or paid?,paid
How many students are enrolled in HTML and CSS for Beginning Web Developers?,1606
Is HTML and CSS for Beginning Web Developers suitable for beginners?,Yes
What is the price of the course HTML and CSS for Beginning Web Developers?,100
What is the level of the course Popular JavaScript Framework:Learn The Language Of Angular 2?,Beginner Level
Which subject does the course Popular JavaScript Framework:Learn The Language Of Angular 2 belong to?,Web Development
Is the course Popular JavaScript Framework:Learn The Language Of Angular 2 free or paid?,paid
How many students are enrolled in Popular JavaScript Framework:Learn The Language Of Angular 2?,260
Is Popular JavaScript Framework:Learn The Language Of Angular 2 suitable for beginners?,Yes
What is the price of the course Popular JavaScript Framework:Learn The Language Of Angular 2?,200
What is the level of the course The Ultimate Guide to the Best WordPress Plugins Part 1?,All Levels
Which subject does the course The Ultimate Guide to the Best WordPress Plugins Part 1 belong to?,Web Development
Is the course The Ultimate Guide to the Best WordPress Plugins Part 1 free or paid?,paid
How many students are enrolled in The Ultimate Guide to the Best WordPress Plugins Part 1?,122
Is The Ultimate Guide to the Best WordPress Plugins Part 1 suitable for beginners?,No
What is the price of the course The Ultimate Guide to the Best WordPress Plugins Part 1?,50
What is the level of the course XSLT :basics for beginners?,All Levels
Which subject does the course XSLT :basics for beginners belong to?,Web Development
Is the course XSLT :basics for beginners free or paid?,paid
How many students are enrolled in XSLT :basics for beginners?,877
Is XSLT :basics for beginners suitable for beginners?,No
What is the price of the course XSLT :basics for beginners?,35
What is the level of the course The Complete Wordpress Plugin Development Course - 8 Plugins?,All Levels
Which subject does the course The Complete Wordpress Plugin Development Course - 8 Plugins belong to?,Web Development
Is the course The Complete Wordpress Plugin Development Course - 8 Plugins free or paid?,paid
How many students are enrolled in The Complete Wordpress Plugin Development Course - 8 Plugins?,1215
Is The Complete Wordpress Plugin Development Course - 8 Plugins suitable for beginners?,No
What is the price of the course The Complete Wordpress Plugin Development Course - 8 Plugins?,200
What is the level of the course JSON Crash Course for Beginners?,Beginner Level
Which subject does the course JSON Crash Course for Beginners belong to?,Web Development
Is the course JSON Crash Course for Beginners free or paid?,paid
How many students are enrolled in JSON Crash Course for Beginners?,3323
Is JSON Crash Course for Beginners suitable for beginners?,Yes
What is the price of the course JSON Crash Course for Beginners?,45
What is the level of the course You can create Incredible Websites with HTML CSS learn how?,All Levels
Which subject does the course You can create Incredible Websites with HTML CSS learn how belong to?,Web Development
Is the course You can create Incredible Websites with HTML CSS learn how free or paid?,paid
How many students are enrolled in You can create Incredible Websites with HTML CSS learn how?,11892
Is You can create Incredible Websites with HTML CSS learn how suitable for beginners?,No
What is the price of the course You can create Incredible Websites with HTML CSS learn how?,100
What is the level of the course JavaScript Tricks how to create code projects from scratch?,All Levels
Which subject does the course JavaScript Tricks how to create code projects from scratch belong to?,Web Development
Is the course JavaScript Tricks how to create code projects from scratch free or paid?,paid
How many students are enrolled in JavaScript Tricks how to create code projects from scratch?,15106
Is JavaScript Tricks how to create code projects from scratch suitable for beginners?,No
What is the price of the course JavaScript Tricks how to create code projects from scratch?,75
What is the level of the course The Sass Course! Learn Sass for Real-World Websites?,All Levels
Which subject does the course The Sass Course! Learn Sass for Real-World Websites belong to?,Web Development
Is the course The Sass Course! Learn Sass for Real-World Websites free or paid?,paid
How many students are enrolled in The Sass Course! Learn Sass for Real-World Websites?,975
Is The Sass Course! Learn Sass for Real-World Websites suitable for beginners?,No
What is the price of the course The Sass Course! Learn Sass for Real-World Websites?,95
What is the level of the course Web Design How to Create a Website HTML CSS Bootstrap?,Beginner Level
Which subject does the course Web Design How to Create a Website HTML CSS Bootstrap belong to?,Web Development
Is the course Web Design How to Create a Website HTML CSS Bootstrap free or paid?,paid
How many students are enrolled in Web Design How to Create a Website HTML CSS Bootstrap?,5263
Is Web Design How to Create a Website HTML CSS Bootstrap suitable for beginners?,Yes
What is the price of the course Web Design How to Create a Website HTML CSS Bootstrap?,75
What is the level of the course Master Angular 4 by Example - Build 7 Awesome Apps!?,All Levels
Which subject does the course Master Angular 4 by Example - Build 7 Awesome Apps! belong to?,Web Development
Is the course Master Angular 4 by Example - Build 7 Awesome Apps! free or paid?,paid
How many students are enrolled in Master Angular 4 by Example - Build 7 Awesome Apps!?,596
Is Master Angular 4 by Example - Build 7 Awesome Apps! suitable for beginners?,No
What is the price of the course Master Angular 4 by Example - Build 7 Awesome Apps!?,195
What is the level of the course Create A Custom Responsive WordPress Website For A Client?,All Levels
Which subject does the course Create A Custom Responsive WordPress Website For A Client belong to?,Web Development
Is the course Create A Custom Responsive WordPress Website For A Client free or paid?,paid
How many students are enrolled in Create A Custom Responsive WordPress Website For A Client?,7517
Is Create A Custom Responsive WordPress Website For A Client suitable for beginners?,No
What is the price of the course Create A Custom Responsive WordPress Website For A Client?,95
What is the level of the course Mastering HTML5 Programming - The Easier Way?,All Levels
Which subject does the course Mastering HTML5 Programming - The Easier Way belong to?,Web Development
Is the course Mastering HTML5 Programming - The Easier Way free or paid?,paid
How many students are enrolled in Mastering HTML5 Programming - The Easier Way?,21653
Is Mastering HTML5 Programming - The Easier Way suitable for beginners?,No
What is the price of the course Mastering HTML5 Programming - The Easier Way?,75
What is the level of the course How to Launch Your Own Website Builder Service?,Beginner Level
Which subject does the course How to Launch Your Own Website Builder Service belong to?,Web Development
Is the course How to Launch Your Own Website Builder Service free or paid?,paid
How many students are enrolled in How to Launch Your Own Website Builder Service?,9028
Is How to Launch Your Own Website Builder Service suitable for beginners?,Yes
What is the price of the course How to Launch Your Own Website Builder Service?,20
What is the level of the course Getting Started with HTML?,Beginner Level
Which subject does the course Getting Started with HTML belong to?,Web Development
Is the course Getting Started with HTML free or paid?,paid
How many students are enrolled in Getting Started with HTML?,7375
Is Getting Started with HTML suitable for beginners?,Yes
What is the price of the course Getting Started with HTML?,40
What is the level of the course Spring Framework 4 (Java Enterprise JEE) with AngularJS?,All Levels
Which subject does the course Spring Framework 4 (Java Enterprise JEE) with AngularJS belong to?,Web Development
Is the course Spring Framework 4 (Java Enterprise JEE) with AngularJS free or paid?,paid
How many students are enrolled in Spring Framework 4 (Java Enterprise JEE) with AngularJS?,5177
Is Spring Framework 4 (Java Enterprise JEE) with AngularJS suitable for beginners?,No
What is the price of the course Spring Framework 4 (Java Enterprise JEE) with AngularJS?,95
What is the level of the course Build A Weather App With Ajax Using Open Weather Map API?,All Levels
Which subject does the course Build A Weather App With Ajax Using Open Weather Map API belong to?,Web Development
Is the course Build A Weather App With Ajax Using Open Weather Map API free or paid?,paid
How many students are enrolled in Build A Weather App With Ajax Using Open Weather Map API?,6548
Is Build A Weather App With Ajax Using Open Weather Map API suitable for beginners?,No
What is the price of the course Build A Weather App With Ajax Using Open Weather Map API?,20
What is the level of the course Essentials of JavaScript Practice Coding Exercises Tips?,Beginner Level
Which subject does the course Essentials of JavaScript Practice Coding Exercises Tips belong to?,Web Development
Is the course Essentials of JavaScript Practice Coding Exercises Tips free or paid?,paid
How many students are enrolled in Essentials of JavaScript Practice Coding Exercises Tips?,28125
Is Essentials of JavaScript Practice Coding Exercises Tips suitable for beginners?,Yes
What is the price of the course Essentials of JavaScript Practice Coding Exercises Tips?,80
What is the level of the course Learn and Earn with HTML & CSS?,All Levels
Which subject does the course Learn and Earn with HTML & CSS belong to?,Web Development
Is the course Learn and Earn with HTML & CSS free or paid?,paid
How many students are enrolled in Learn and Earn with HTML & CSS?,9349
Is Learn and Earn with HTML & CSS suitable for beginners?,No
What is the price of the course Learn and Earn with HTML & CSS?,20
What is the level of the course Get started Creating Websites Everything you need provided?,Beginner Level
Which subject does the course Get started Creating Websites Everything you need provided belong to?,Web Development
Is the course Get started Creating Websites Everything you need provided free or paid?,paid
How many students are enrolled in Get started Creating Websites Everything you need provided?,14260
Is Get started Creating Websites Everything you need provided suitable for beginners?,Yes
What is the price of the course Get started Creating Websites Everything you need provided?,100
What is the level of the course JavaScript in Action JavaScript Projects?,Beginner Level
Which subject does the course JavaScript in Action JavaScript Projects belong to?,Web Development
Is the course JavaScript in Action JavaScript Projects free or paid?,paid
How many students are enrolled in JavaScript in Action JavaScript Projects?,7720
Is JavaScript in Action JavaScript Projects suitable for beginners?,Yes
What is the price of the course JavaScript in Action JavaScript Projects?,150
What is the level of the course Modern Web Development with Laravel 5.2 (PHP Framework)?,All Levels
Which subject does the course Modern Web Development with Laravel 5.2 (PHP Framework) belong to?,Web Development
Is the course Modern Web Development with Laravel 5.2 (PHP Framework) free or paid?,paid
How many students are enrolled in Modern Web Development with Laravel 5.2 (PHP Framework)?,2142
Is Modern Web Development with Laravel 5.2 (PHP Framework) suitable for beginners?,No
What is the price of the course Modern Web Development with Laravel 5.2 (PHP Framework)?,120
What is the level of the course Programming for Entrepreneurs - JavaScript?,Beginner Level
Which subject does the course Programming for Entrepreneurs - JavaScript belong to?,Web Development
Is the course Programming for Entrepreneurs - JavaScript free or paid?,paid
How many students are enrolled in Programming for Entrepreneurs - JavaScript?,12873
Is Programming for Entrepreneurs - JavaScript suitable for beginners?,Yes
What is the price of the course Programming for Entrepreneurs - JavaScript?,200
What is the level of the course Create a Website from Scratch using HTML CSS step by step?,Beginner Level
Which subject does the course Create a Website from Scratch using HTML CSS step by step belong to?,Web Development
Is the course Create a Website from Scratch using HTML CSS step by step free or paid?,paid
How many students are enrolled in Create a Website from Scratch using HTML CSS step by step?,12882
Is Create a Website from Scratch using HTML CSS step by step suitable for beginners?,Yes
What is the price of the course Create a Website from Scratch using HTML CSS step by step?,75
What is the level of the course Complete AJAX Course: Learn AJAX Techniques Using Bootstrap?,All Levels
Which subject does the course Complete AJAX Course: Learn AJAX Techniques Using Bootstrap belong to?,Web Development
Is the course Complete AJAX Course: Learn AJAX Techniques Using Bootstrap free or paid?,paid
How many students are enrolled in Complete AJAX Course: Learn AJAX Techniques Using Bootstrap?,12368
Is Complete AJAX Course: Learn AJAX Techniques Using Bootstrap suitable for beginners?,No
What is the price of the course Complete AJAX Course: Learn AJAX Techniques Using Bootstrap?,195
What is the level of the course Learn jQuery by Example Course?,Beginner Level
Which subject does the course Learn jQuery by Example Course belong to?,Web Development
Is the course Learn jQuery by Example Course free or paid?,paid
How many students are enrolled in Learn jQuery by Example Course?,8625
Is Learn jQuery by Example Course suitable for beginners?,Yes
What is the price of the course Learn jQuery by Example Course?,170
What is the level of the course Bootstrap 4 Theme Development Masterclass?,All Levels
Which subject does the course Bootstrap 4 Theme Development Masterclass belong to?,Web Development
Is the course Bootstrap 4 Theme Development Masterclass free or paid?,paid
How many students are enrolled in Bootstrap 4 Theme Development Masterclass?,2641
Is Bootstrap 4 Theme Development Masterclass suitable for beginners?,No
What is the price of the course Bootstrap 4 Theme Development Masterclass?,150
What is the level of the course Wordpress Theme Development for Beginners?,All Levels
Which subject does the course Wordpress Theme Development for Beginners belong to?,Web Development
Is the course Wordpress Theme Development for Beginners free or paid?,paid
How many students are enrolled in Wordpress Theme Development for Beginners?,1052
Is Wordpress Theme Development for Beginners suitable for beginners?,No
What is the price of the course Wordpress Theme Development for Beginners?,20
What is the level of the course Web Design Creating websites from scratch?,Beginner Level
Which subject does the course Web Design Creating websites from scratch belong to?,Web Development
Is the course Web Design Creating websites from scratch free or paid?,paid
How many students are enrolled in Web Design Creating websites from scratch?,13920
Is Web Design Creating websites from scratch suitable for beginners?,Yes
What is the price of the course Web Design Creating websites from scratch?,75
What is the level of the course HTML Learning the Basics Intro to HTML website coding?,Beginner Level
Which subject does the course HTML Learning the Basics Intro to HTML website coding belong to?,Web Development
Is the course HTML Learning the Basics Intro to HTML website coding free or paid?,paid
How many students are enrolled in HTML Learning the Basics Intro to HTML website coding?,7416
Is HTML Learning the Basics Intro to HTML website coding suitable for beginners?,Yes
What is the price of the course HTML Learning the Basics Intro to HTML website coding?,20
What is the level of the course Learn how to use Javascript Components with PHP and Symfony?,All Levels
Which subject does the course Learn how to use Javascript Components with PHP and Symfony belong to?,Web Development
Is the course Learn how to use Javascript Components with PHP and Symfony free or paid?,paid
How many students are enrolled in Learn how to use Javascript Components with PHP and Symfony?,1822
Is Learn how to use Javascript Components with PHP and Symfony suitable for beginners?,No
What is the price of the course Learn how to use Javascript Components with PHP and Symfony?,90
What is the level of the course So you think you know JavaScript??,All Levels
Which subject does the course So you think you know JavaScript? belong to?,Web Development
Is the course So you think you know JavaScript? free or paid?,paid
How many students are enrolled in So you think you know JavaScript??,1010
Is So you think you know JavaScript? suitable for beginners?,No
What is the price of the course So you think you know JavaScript??,50
What is the level of the course Learn Node.js by building Udemy: Stripe + MailChimp + Wistia?,All Levels
Which subject does the course Learn Node.js by building Udemy: Stripe + MailChimp + Wistia belong to?,Web Development
Is the course Learn Node.js by building Udemy: Stripe + MailChimp + Wistia free or paid?,paid
How many students are enrolled in Learn Node.js by building Udemy: Stripe + MailChimp + Wistia?,1425
Is Learn Node.js by building Udemy: Stripe + MailChimp + Wistia suitable for beginners?,No
What is the price of the course Learn Node.js by building Udemy: Stripe + MailChimp + Wistia?,110
What is the level of the course Learn jQuery: An In-depth Course For Beginners?,All Levels
Which subject does the course Learn jQuery: An In-depth Course For Beginners belong to?,Web Development
Is the course Learn jQuery: An In-depth Course For Beginners free or paid?,paid
How many students are enrolled in Learn jQuery: An In-depth Course For Beginners?,7014
Is Learn jQuery: An In-depth Course For Beginners suitable for beginners?,No
What is the price of the course Learn jQuery: An In-depth Course For Beginners?,50
What is the level of the course JavaScript for Beginning Web Developers?,Beginner Level
Which subject does the course JavaScript for Beginning Web Developers belong to?,Web Development
Is the course JavaScript for Beginning Web Developers free or paid?,paid
How many students are enrolled in JavaScript for Beginning Web Developers?,7785
Is JavaScript for Beginning Web Developers suitable for beginners?,Yes
What is the price of the course JavaScript for Beginning Web Developers?,75
What is the level of the course JQuery Create Overlay Popups from scratch using Jquery?,All Levels
Which subject does the course JQuery Create Overlay Popups from scratch using Jquery belong to?,Web Development
Is the course JQuery Create Overlay Popups from scratch using Jquery free or paid?,paid
How many students are enrolled in JQuery Create Overlay Popups from scratch using Jquery?,4407
Is JQuery Create Overlay Popups from scratch using Jquery suitable for beginners?,No
What is the price of the course JQuery Create Overlay Popups from scratch using Jquery?,50
What is the level of the course Vue JS 2: From Beginner to Professional?,All Levels
Which subject does the course Vue JS 2: From Beginner to Professional belong to?,Web Development
Is the course Vue JS 2: From Beginner to Professional free or paid?,paid
How many students are enrolled in Vue JS 2: From Beginner to Professional?,602
Is Vue JS 2: From Beginner to Professional suitable for beginners?,No
What is the price of the course Vue JS 2: From Beginner to Professional?,145
What is the level of the course Ultimate AngularJS: Build a Real-World App from Scratch?,All Levels
Which subject does the course Ultimate AngularJS: Build a Real-World App from Scratch belong to?,Web Development
Is the course Ultimate AngularJS: Build a Real-World App from Scratch free or paid?,paid
How many students are enrolled in Ultimate AngularJS: Build a Real-World App from Scratch?,1712
Is Ultimate AngularJS: Build a Real-World App from Scratch suitable for beginners?,No
What is the price of the course Ultimate AngularJS: Build a Real-World App from Scratch?,100
What is the level of the course Wordpress Site Migration?,All Levels
Which subject does the course Wordpress Site Migration belong to?,Web Development
Is the course Wordpress Site Migration free or paid?,paid
How many students are enrolled in Wordpress Site Migration?,1894
Is Wordpress Site Migration suitable for beginners?,No
What is the price of the course Wordpress Site Migration?,20
What is the level of the course introduction to HTML Course?,Beginner Level
Which subject does the course introduction to HTML Course belong to?,Web Development
Is the course introduction to HTML Course free or paid?,paid
How many students are enrolled in introduction to HTML Course?,3258
Is introduction to HTML Course suitable for beginners?,Yes
What is the price of the course introduction to HTML Course?,20
What is the level of the course Create Single Page Website using Twitter Bootstrap 3?,Intermediate Level
Which subject does the course Create Single Page Website using Twitter Bootstrap 3 belong to?,Web Development
Is the course Create Single Page Website using Twitter Bootstrap 3 free or paid?,paid
How many students are enrolled in Create Single Page Website using Twitter Bootstrap 3?,7449
Is Create Single Page Website using Twitter Bootstrap 3 suitable for beginners?,No
What is the price of the course Create Single Page Website using Twitter Bootstrap 3?,20
What is the level of the course The All-In-One Web Development Course?,All Levels
Which subject does the course The All-In-One Web Development Course belong to?,Web Development
Is the course The All-In-One Web Development Course free or paid?,paid
How many students are enrolled in The All-In-One Web Development Course?,538
Is The All-In-One Web Development Course suitable for beginners?,No
What is the price of the course The All-In-One Web Development Course?,85
What is the level of the course Code a Responsive Website Using HTML5 and CSS for Beginners?,Beginner Level
Which subject does the course Code a Responsive Website Using HTML5 and CSS for Beginners belong to?,Web Development
Is the course Code a Responsive Website Using HTML5 and CSS for Beginners free or paid?,paid
How many students are enrolled in Code a Responsive Website Using HTML5 and CSS for Beginners?,1271
Is Code a Responsive Website Using HTML5 and CSS for Beginners suitable for beginners?,Yes
What is the price of the course Code a Responsive Website Using HTML5 and CSS for Beginners?,50
What is the level of the course AngularJS for the Real World - Learn by creating a WebApp?,All Levels
Which subject does the course AngularJS for the Real World - Learn by creating a WebApp belong to?,Web Development
Is the course AngularJS for the Real World - Learn by creating a WebApp free or paid?,paid
How many students are enrolled in AngularJS for the Real World - Learn by creating a WebApp?,1407
Is AngularJS for the Real World - Learn by creating a WebApp suitable for beginners?,No
What is the price of the course AngularJS for the Real World - Learn by creating a WebApp?,115
What is the level of the course Wordpress Tutorial   ?,All Levels
Which subject does the course Wordpress Tutorial    belong to?,Web Development
Is the course Wordpress Tutorial    free or paid?,paid
How many students are enrolled in Wordpress Tutorial   ?,2311
Is Wordpress Tutorial    suitable for beginners?,No
What is the price of the course Wordpress Tutorial   ?,200
What is the level of the course Create a REAL Social Network like Facebook in PHP + MySQL?,All Levels
Which subject does the course Create a REAL Social Network like Facebook in PHP + MySQL belong to?,Web Development
Is the course Create a REAL Social Network like Facebook in PHP + MySQL free or paid?,paid
How many students are enrolled in Create a REAL Social Network like Facebook in PHP + MySQL?,1002
Is Create a REAL Social Network like Facebook in PHP + MySQL suitable for beginners?,No
What is the price of the course Create a REAL Social Network like Facebook in PHP + MySQL?,45
What is the level of the course Advanced Node.js Development?,Expert Level
Which subject does the course Advanced Node.js Development belong to?,Web Development
Is the course Advanced Node.js Development free or paid?,paid
How many students are enrolled in Advanced Node.js Development?,2565
Is Advanced Node.js Development suitable for beginners?,No
What is the price of the course Advanced Node.js Development?,55
What is the level of the course ASP.NET MVC 5 Project - Facebook Clone?,All Levels
Which subject does the course ASP.NET MVC 5 Project - Facebook Clone belong to?,Web Development
Is the course ASP.NET MVC 5 Project - Facebook Clone free or paid?,paid
How many students are enrolled in ASP.NET MVC 5 Project - Facebook Clone?,210
Is ASP.NET MVC 5 Project - Facebook Clone suitable for beginners?,No
What is the price of the course ASP.NET MVC 5 Project - Facebook Clone?,30
What is the level of the course Bootstrap For Beginners: A  Basic Introduction?,Beginner Level
Which subject does the course Bootstrap For Beginners: A  Basic Introduction belong to?,Web Development
Is the course Bootstrap For Beginners: A  Basic Introduction free or paid?,paid
How many students are enrolled in Bootstrap For Beginners: A  Basic Introduction?,1186
Is Bootstrap For Beginners: A  Basic Introduction suitable for beginners?,Yes
What is the price of the course Bootstrap For Beginners: A  Basic Introduction?,55
What is the level of the course jQuery for Beginners?,All Levels
Which subject does the course jQuery for Beginners belong to?,Web Development
Is the course jQuery for Beginners free or paid?,paid
How many students are enrolled in jQuery for Beginners?,1421
Is jQuery for Beginners suitable for beginners?,No
What is the price of the course jQuery for Beginners?,20
What is the level of the course JavaScript Basics For Web Developers?,Beginner Level
Which subject does the course JavaScript Basics For Web Developers belong to?,Web Development
Is the course JavaScript Basics For Web Developers free or paid?,paid
How many students are enrolled in JavaScript Basics For Web Developers?,958
Is JavaScript Basics For Web Developers suitable for beginners?,Yes
What is the price of the course JavaScript Basics For Web Developers?,20
What is the level of the course Learn PHP from Scratch?,Beginner Level
Which subject does the course Learn PHP from Scratch belong to?,Web Development
Is the course Learn PHP from Scratch free or paid?,paid
How many students are enrolled in Learn PHP from Scratch?,1550
Is Learn PHP from Scratch suitable for beginners?,Yes
What is the price of the course Learn PHP from Scratch?,50
What is the level of the course Learn Express?,Intermediate Level
Which subject does the course Learn Express belong to?,Web Development
Is the course Learn Express free or paid?,paid
How many students are enrolled in Learn Express?,1309
Is Learn Express suitable for beginners?,No
What is the price of the course Learn Express?,25
"What is the level of the course Build A Web App with VueJS, Spring Framework and MongoDB?",All Levels
"Which subject does the course Build A Web App with VueJS, Spring Framework and MongoDB belong to?",Web Development
"Is the course Build A Web App with VueJS, Spring Framework and MongoDB free or paid?",paid
"How many students are enrolled in Build A Web App with VueJS, Spring Framework and MongoDB?",251
"Is Build A Web App with VueJS, Spring Framework and MongoDB suitable for beginners?",No
"What is the price of the course Build A Web App with VueJS, Spring Framework and MongoDB?",145
What is the level of the course Zend Framework 2: Learn the PHP framework ZF2 from scratch?,All Levels
Which subject does the course Zend Framework 2: Learn the PHP framework ZF2 from scratch belong to?,Web Development
Is the course Zend Framework 2: Learn the PHP framework ZF2 from scratch free or paid?,paid
How many students are enrolled in Zend Framework 2: Learn the PHP framework ZF2 from scratch?,723
Is Zend Framework 2: Learn the PHP framework ZF2 from scratch suitable for beginners?,No
What is the price of the course Zend Framework 2: Learn the PHP framework ZF2 from scratch?,40
What is the level of the course Improved SEO with Rich Snippets and MicroData?,Intermediate Level
Which subject does the course Improved SEO with Rich Snippets and MicroData belong to?,Web Development
Is the course Improved SEO with Rich Snippets and MicroData free or paid?,free
How many students are enrolled in Improved SEO with Rich Snippets and MicroData?,11026
Is Improved SEO with Rich Snippets and MicroData suitable for beginners?,No
What is the price of the course Improved SEO with Rich Snippets and MicroData?,0
What is the level of the course X theme for WordPress: Responsive web design without code!?,All Levels
Which subject does the course X theme for WordPress: Responsive web design without code! belong to?,Web Development
Is the course X theme for WordPress: Responsive web design without code! free or paid?,paid
How many students are enrolled in X theme for WordPress: Responsive web design without code!?,1318
Is X theme for WordPress: Responsive web design without code! suitable for beginners?,No
What is the price of the course X theme for WordPress: Responsive web design without code!?,20
What is the level of the course Become a HTML and CSS Developer - Build a Responsive Site?,Beginner Level
Which subject does the course Become a HTML and CSS Developer - Build a Responsive Site belong to?,Web Development
Is the course Become a HTML and CSS Developer - Build a Responsive Site free or paid?,free
How many students are enrolled in Become a HTML and CSS Developer - Build a Responsive Site?,3894
Is Become a HTML and CSS Developer - Build a Responsive Site suitable for beginners?,Yes
What is the price of the course Become a HTML and CSS Developer - Build a Responsive Site?,0
What is the level of the course How to Make a Wordpress Website 2017?,All Levels
Which subject does the course How to Make a Wordpress Website 2017 belong to?,Web Development
Is the course How to Make a Wordpress Website 2017 free or paid?,free
